"Response number","Do you have any experience in using a computer programming language e.g. Java, Python, etc","If yes please give some details","Are you worried/nervous about learning a new computing language ?","Any further comments relating to the above question"
1,No,"used microsoft basic for higher computing","Yes, I am slightly worried/nervous about learning a new computing language.",
2,No,,"No, I am not worried/nervous about learning a new computing language.","I’ve have never learned about a computing language before and I am highly interested to finally do so:)"
3,No,,"No, I am not worried/nervous about learning a new computing language.",
4,No,,"No, I am not worried/nervous about learning a new computing language.",
5,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
6,No,,"No, I am not worried/nervous about learning a new computing language.",
7,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
8,No,,"No, I am not worried/nervous about learning a new computing language.",
9,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
10,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
11,No,,"No, I am not worried/nervous about learning a new computing language.",
12,No,,"No, I am not worried/nervous about learning a new computing language.",
13,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
14,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
15,No,,"No, I am not worried/nervous about learning a new computing language.",
16,Yes,"I have experience in JavaScript , python and Pseudocode","No, I am not worried/nervous about learning a new computing language.",
17,No,,"Yes, I am very worried/nervous about learning a new computing language.",
18,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
19,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
20,No,,"Yes, I am very worried/nervous about learning a new computing language.",
21,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
22,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
23,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
24,No,,"No, I am not worried/nervous about learning a new computing language.",
25,Yes,"I can&#039;t recall what programming language I used but it was in 4th year at school and it was for computing science.","Yes, I am very worried/nervous about learning a new computing language.",
26,No,,"No, I am not worried/nervous about learning a new computing language.",
27,Yes,"I have done Nat 5 and Higher Computing Science so I have experience in writing in programming languages, however, I&#039;m not sure how much I remember from my time doing it.","No, I am not worried/nervous about learning a new computing language.",
28,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
29,Yes,"Done an ever so slight amount of python in s3 computing to understand what programming was about and use programming language to move lego robots.","Yes, I am slightly worried/nervous about learning a new computing language.",
30,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
31,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
32,No,,"No, I am not worried/nervous about learning a new computing language.",
33,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
34,No,,"No, I am not worried/nervous about learning a new computing language.",
35,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
36,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
37,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
38,Yes,"I have used python in computing science in school","No, I am not worried/nervous about learning a new computing language.",
39,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
40,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
41,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
42,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
43,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
44,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
45,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
46,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
47,No,,"Yes, I am very worried/nervous about learning a new computing language.",
48,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
49,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
50,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
51,No,,"No, I am not worried/nervous about learning a new computing language.",
52,No,,"Yes, I am slightly worried/nervous about learning a new computing language.","Not necessarily relating to the above question but, I am worried that my laptop might not have the same operating power as other people in the class which could see myself working at a slower rate as my laptop will be struggling with running the app. As, this has happened in the pass with previous apps. Just wanted to know if that was to be the case what options could I see myself undertaking to avoid that problem."
53,Yes,"Yes I have used computer programming languages like Python and C#.","No, I am not worried/nervous about learning a new computing language.","I have had to learn new computing languages so I am not worried to learn a new one."
54,No,,"No, I am not worried/nervous about learning a new computing language.",
55,No,,"Yes, I am very worried/nervous about learning a new computing language.",
56,Yes,"Basic python programming language.","No, I am not worried/nervous about learning a new computing language.",
57,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
